T04,T05,T03,T04,T04,T04,T06,T07,T07,T07,T04,T05,E  ,E  ,E  ,T03,
T04,T05,T06,T07,T07,T08,   ,   ,   ,   ,T03,T05,   ,   ,   ,T03,
T04,T04,T02,T12,   ,   ,   ,   ,   ,   ,T03,T05,   ,   ,   ,T03,
T13,T04,T05,   ,   ,   ,   ,   ,   ,   ,T03,T08,   ,   ,   ,T03,
T04,T13,T05,   ,   ,   ,   ,   ,   ,   ,T15,   ,   ,   ,   ,T03,
T04,T07,T08,   ,   ,   ,   ,S  ,   ,   ,T16,   ,   ,   ,   ,T03,
T05,   ,   ,   ,   ,   ,   ,T15,   ,   ,   ,   ,   ,   ,T00,T04,
T04,T02,T12,T12,   ,   ,   ,T15,   ,   ,   ,   ,   ,   ,T03,T13,
T04,T04,T01,T02,   ,   ,   ,T15,   ,   ,   ,   ,   ,   ,T06,T04,
T04,T04,T13,T05,   ,   ,   ,T15,   ,   ,   ,   ,   ,   ,T00,T04,
T13,T04,T04,T05,   ,   ,   ,T15,   ,   ,   ,   ,   ,T09,T07,T04,
T07,T07,T04,T05,   ,   ,   ,T15,   ,   ,   ,   ,   ,   ,   ,T03,
   ,   ,T06,T05,   ,   ,   ,T15,   ,   ,   ,   ,   ,   ,   ,T06,
   ,   ,   ,T16,   ,   ,   ,T15,S  ,S  ,S  ,   ,   ,   ,   ,   ,
   ,H  ,   ,   ,   ,   ,   ,T03,T01,T01,T02,   ,   ,   ,   ,   ,
T01,T01,T01,T01,T01,T01,T01,T04,T04,T13,T05,V  ,V  ,V  ,V  ,V  ,
