T02,T06,T04,T04,T13,T04,T04,T07,T07,T07,T07,T07,T08,E  ,E  ,T03,
T04,T02,T06,T07,T07,T07,T08,   ,   ,   ,   ,   ,   ,   ,   ,T03,
T04,T04,T02,T12,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,T03,
T07,T07,T08,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,T12,T12,T03,
T02,T17,T18,   ,   ,   ,   ,   ,   ,   ,   ,   ,T09,T10,T01,T04,
T05,T19,T20,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,T06,T04,
T04,T01,T10,T10,T11,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,T03,
T04,T08,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,T03,
T05,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,T03,
T08,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,T09,T01,T04,
   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,T03,T04,
   ,   ,   ,   ,   ,   ,   ,T00,T02,   ,   ,   ,   ,   ,T03,T04,
   ,H  ,   ,T00,T02,   ,   ,T06,T08,   ,   ,S  ,S  ,S  ,T03,T04,
T01,T01,T01,T04,T05,   ,   ,T00,T02,S  ,S  ,T00,T01,T01,T04,T04,
T04,T13,T04,T04,T05,S  ,S  ,T03,T04,T01,T01,T04,T04,T04,T13,T04,
T04,T04,T04,T04,T04,T01,T01,T04,T04,T04,T04,T04,T04,T04,T04,T04,
