   ,   ,   ,   ,   ,   ,F04,   ,   ,   ,   ,   ,F04,F04,F04,   ,
   ,   ,F04,   ,   ,F04,F04,F04,   ,F04,   ,   ,F02,F07,F04,   ,
   ,   ,F04,F04,F07,F04,F03,F03,   ,F04,   ,   ,   ,F00,F05,   ,
   ,   ,   ,F04,F04,F03,   ,   ,   ,F02,   ,F04,   ,   ,F02,   ,
   ,   ,   ,F03,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
   ,   ,F04,   ,   ,   ,   ,S  ,   ,   ,F04,   ,   ,   ,C  ,   ,
   ,   ,G01,   ,F00,F01,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
   ,   ,F04,F04,F07,F03,   ,   ,F01,   ,F01,   ,F00,F04,   ,   ,
   ,   ,   ,F04,F04,F01,   ,   ,F04,F04,F04,F05,F04,F04,F04,   ,
   ,   ,   ,   ,F04,F04,F01,   ,F04,F04,F04,F04,F04,F04,F04,   ,
   ,   ,   ,   ,   ,F02,F04,   ,F03,   ,F02,F04,F04,F04,   ,   ,
   ,   ,   ,   ,   ,F00,F04,   ,   ,   ,   ,   ,F02,F04,F04,   ,
   ,F04,F04,   ,F00,F05,F03,   ,   ,   ,   ,   ,   ,   ,F02,   ,
   ,F02,F05,F04,F04,F03,   ,   ,S  ,S  ,S  ,   ,   ,   ,F00,F04,
   ,   ,F02,F04,F04,F06,G00,   ,   ,   ,F04,F06,   ,F00,F05,F04,
   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,F04,F04,F04,F04,F04,
