   ,   ,   ,   ,   ,   ,   ,F04,F04,F05,F04,F04,F04,   ,   ,   ,
   ,   ,   ,   ,   ,   ,   ,F02,F04,F04,F03,F04,F07,   ,   ,   ,
   ,   ,   ,   ,   ,F04,   ,   ,F03,   ,   ,F02,   ,F04,   ,   ,
   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,F04,   ,
F04,   ,F04,   ,   ,G01,G00,   ,   ,   ,   ,   ,   ,   ,   ,F04,
   ,   ,   ,F04,F04,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,A00,
   ,   ,   ,F00,F04,   ,   ,   ,   ,   ,F04,F06,   ,   ,   ,A01,
   ,   ,   ,F04,F04,F04,F04,F04,F04,F04,F04,F04,F04,   ,F04,   ,
   ,   ,F00,F04,F05,F04,F07,F03,   ,   ,F02,F04,F05,F01,   ,   ,
   ,   ,   ,F02,F04,F04,F04,   ,   ,   ,   ,F04,F07,F04,   ,   ,
   ,   ,   ,   ,   ,F02,F04,   ,   ,   ,   ,F04,F04,F04,   ,   ,
   ,   ,   ,   ,   ,   ,F02,   ,   ,   ,   ,F03,F02,   ,   ,   ,
   ,   ,G00,   ,   ,F04,   ,F02,   ,   ,F03,   ,   ,   ,   ,   ,
   ,   ,F04,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
