   ,F04,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
   ,   ,F04,   ,   ,   ,F04,F03,   ,   ,   ,F04,F03,   ,   ,   ,
   ,   ,   ,F04,F07,F04,F04,   ,   ,   ,   ,F02,   ,   ,G01,   ,
   ,   ,   ,F04,F04,F04,F03,   ,   ,   ,   ,   ,G00,F04,F04,   ,
   ,F04,F04,F05,F04,F03,F00,F04,F01,   ,   ,   ,F04,F04,F04,   ,
   ,F04,F04,F04,F04,F07,F04,F03,   ,   ,   ,   ,   ,   ,F04,   ,
   ,   ,F04,F04,F04,F04,F04,   ,   ,   ,   ,   ,   ,F00,F04,   ,
   ,F04,F05,F04,F04,F03,   ,   ,   ,   ,   ,   ,   ,F04,F05,   ,
   ,   ,   ,F02,F04,   ,   ,   ,   ,F00,F04,F00,F04,F04,F04,   ,
   ,   ,   ,   ,F04,F06,   ,   ,   ,F04,F07,F04,F04,F04,   ,   ,
   ,   ,   ,F00,F04,F04,F05,C  ,F00,F04,F04,F04,F05,F04,   ,   ,
   ,   ,   ,F04,F05,F04,F04,F04,F04,F04,   ,   ,F02,F04,   ,   ,
   ,   ,F00,F04,F04,F04,F02,F04,F04,F03,   ,   ,   ,   ,   ,   ,
   ,   ,   ,   ,   ,F03,   ,F04,F04,   ,   ,F04,   ,   ,   ,   ,
   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
