   ,F04,   ,   ,   ,   ,   ,   ,   ,F04,F04,   ,   ,   ,   ,   ,
F04,F07,   ,   ,   ,F04,F04,F03,   ,   ,   ,   ,F02,F04,F04,   ,
F05,F04,F01,C  ,   ,F00,F04,   ,   ,   ,   ,   ,   ,F04,   ,   ,
F02,F04,F04,F04,F04,F04,F03,   ,   ,   ,   ,   ,   ,F04,F01,   ,
   ,F07,F04,F04,F04,F03,   ,   ,   ,   ,   ,   ,F00,F04,F04,F04,
F02,F04,F04,F03,   ,   ,   ,   ,   ,   ,F04,F04,F04,F05,F04,F03,
   ,F02,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,F07,F04,F03,   ,
   ,   ,   ,   ,   ,   ,F04,F04,   ,F00,   ,   ,F04,F04,   ,   ,
   ,   ,   ,   ,   ,   ,F04,F05,F04,F04,F04,   ,F04,   ,   ,   ,
   ,   ,   ,   ,   ,   ,F04,F04,F04,F02,   ,F04,F04,F01,   ,   ,
   ,   ,   ,   ,   ,   ,F04,F04,   ,   ,   ,F02,F04,F04,F01,   ,
   ,   ,G00,   ,   ,   ,F04,F03,   ,   ,   ,   ,F05,F04,   ,   ,
   ,   ,   ,F04,   ,   ,F04,   ,   ,   ,   ,G01,F02,F04,F01,   ,
F02,F04,F04,F01,   ,F00,F04,   ,   ,F00,   ,F04,   ,   ,   ,   ,
   ,F05,F04,F04,F01,F04,F04,   ,   ,F04,F01,F00,F04,F04,F04,F04,
   ,F02,F04,F04,F07,F04,   ,   ,F00,F04,F04,F04,F04,F04,F04,F04,
