T04,T04,T04,T04,T04,T04,T07,T08,E  ,E  ,E  ,E  ,T06,T04,T04,T04,
T04,T13,T04,T04,T04,T05,   ,   ,   ,   ,   ,   ,   ,T03,T13,T04,
T04,T04,T04,T13,T04,T08,   ,   ,   ,   ,   ,   ,   ,T06,T04,T04,
T04,T07,T04,T04,T05,   ,   ,   ,   ,   ,   ,   ,   ,   ,T06,T04,
T08,   ,T06,T04,T08,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,T06,
   ,   ,   ,T16,T00,T01,T02,   ,   ,   ,   ,   ,   ,   ,   ,   ,
   ,B  ,   ,   ,T03,T04,T05,S  ,S  ,S  ,S  ,   ,   ,   ,   ,   ,
   ,   ,   ,   ,T06,T07,T07,T10,T10,T10,T11,   ,   ,   ,   ,   ,
   ,   ,   ,   ,   ,   ,   ,   ,T12,T12,   ,   ,   ,   ,T00,T01,
   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,T03,T04,
   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,T03,T04,
   ,   ,   ,   ,   ,   ,   ,S  ,S  ,S  ,S  ,   ,   ,T00,T04,T13,
   ,   ,   ,   ,   ,   ,   ,T09,T01,T01,T11,   ,   ,T03,T04,T04,
   ,H  ,   ,   ,   ,T14,   ,   ,T03,T05,   ,   ,   ,T03,T04,T04,
T01,T01,T02,   ,   ,T15,   ,   ,T03,T05,   ,   ,   ,T03,T13,T04,
T04,T13,T05,V  ,V  ,T15,V  ,V  ,T03,T05,V  ,V  ,V  ,T03,T04,T04,
